"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","solo",1,"e","place",452.1848,638303012333003570,638303012337525418,"Regular Red CubeClone174was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",670.712,638303012365861818,638303012372568938,"Regular Red CubeClone180was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",700.7257,638303012408873931,638303012415881188,"Regular Red CubeClone184was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",260.2726,638303012437496622,638303012440099348,"Regular Red CubeClone188was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",673.005,638303012585439384,638303012592169434,"Regular Gold CubeClone70was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",545.4111,638303012610874302,638303012616328413,"Regular Red CubeClone216was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",614.9083,638303012658089613,638303012664238696,"Regular Neutral CubeClone222was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",880.4063,638303012688636222,638303012697440285,"Regular Red CubeClone225was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",556.3166,638303012745305977,638303012750869143,"Regular Blue CubeClone230was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",764.7688,638303012796049396,638303012803697084,"Regular Gold CubeClone215was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",733.0787,638303012826007219,638303012833338006,"Regular Red CubeClone243was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",618.0053,638303012963137476,638303012969317529,"Regular Blue CubeClone261was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",927.8317,638303013002693777,638303013011972094,"Regular Blue CubeClone270was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",607.1504,638303013065428909,638303013071500413,"Regular Blue CubeClone277was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",849.7265,638303013086965903,638303013095463168,"Regular Blue CubeClone279was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",599.3921,638303013131374762,638303013137368683,"Regular Blue CubeClone285was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",747.5643,638303013217071856,638303013224547499,"Regular Gold CubeClone292was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",991.9745,638303013285740511,638303013295660256,"Regular Red CubeClone305was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",987.9165,638303013370302426,638303013380181591,"Regular Neutral CubeClone323was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",632.2492,638303013416621977,638303013422944469,"Regular Gold CubeClone304was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",993.0092,638303013452501801,638303013462431893,"Regular Neutral CubeClone331was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",860.6996,638303013525902919,638303013534509915,"Regular Neutral CubeClone342was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",647.0056,638303013566143041,638303013572613097,"Regular Blue CubeClone346was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",665.539,638303013599489301,638303013606144691,"Regular Neutral CubeClone355was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",731.9612,638303013621611492,638303013628931104,"Regular Gold CubeClone333was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",914.005,638303013701417757,638303013710557807,"Regular Neutral CubeClone369was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",485.8793,638303013725582975,638303013730441768,"Regular Neutral CubeClone372was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",656.9939,638303013763402893,638303013769972832,"Regular Neutral CubeClone377was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",712.5021,638303013805656560,638303013812781581,"Regular Red CubeClone379was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",910.229,638303013913940914,638303013923043204,"Regular Neutral CubeClone398was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",854.706,638303013949820616,638303013958367676,"Regular Blue CubeClone399was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",563.7803,638303013989795119,638303013995432922,"Regular Neutral CubeClone407was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",483.3423,638303014024251377,638303014029084800,"Regular Blue CubeClone408was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",2,"e","grab",415.0985,638303015463839587,638303015467990572,"Regular Blue CubeClone3 was picked up"
"nuP11","solo",2,"e","grab",73.9973,638303015488497189,638303015489237162,"Regular Blue CubeClone4 was picked up"
"nuP11","solo",2,"e","grab",382.0029,638303015502266944,638303015506086973,"Regular Blue CubeClone8 was picked up"
"nuP11","solo",2,"e","grab",297.0013,638303015621655871,638303015624625884,"Regular Blue CubeClone22 was picked up"
"nuP11","solo",2,"e","grab",96.9983,638303015652409837,638303015653379820,"Regular Gold CubeClone17 was picked up"
