"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P14","s","2",22,"m","e",195.0444,637959148907386478,637959148909336922,"red"
"P14","s","2",22,"m","e",213.0382,637959148956480219,637959148958610601,"red"
"P14","s","2",22,"m","e",1975.4486,637959149012912884,637959149032667370,"red"
"P14","s","2",22,"m","e",349.0788,637959149165397373,637959149168888161,"red"
"P14","co","1",22,"m","e",963.2178,637959154945295906,637959154954928084,"red"
"P14","co","1",22,"m","e",394.0892,637959154992366555,637959154996307447,"red"
"P14","co","1",22,"m","e",305.0699,637959155029464945,637959155032515644,"red"
"P14","co","1",22,"m","e",262.0605,637959155088758363,637959155091378968,"gray"
"P14","co","1",22,"m","e",348.0793,637959155115884496,637959155119365289,"gray"
"P14","co","1",22,"m","e",616.1405,637959155154753296,637959155160914701,"red"
"P14","co","1",22,"m","e",248.0557,637959155207285181,637959155209765738,"red"
"P14","co","1",22,"m","e",298.017,637959155287363546,637959155290343716,"gray"
"P14","co","1",22,"m","e",213.0494,637959155320920460,637959155323050954,"gray"
"P14","co","1",22,"m","e",82.0221,637959155350117062,637959155350937283,"red"
"P14","co","1",22,"m","e",275.0635,637959155520915704,637959155523666339,"gray"
"P14","co","1",22,"m","e",468.1053,637959155554383281,637959155559064334,"red"
"P14","co","2",22,"m","e",205.0473,637959157230744423,637959157232794896,"red"
"P14","co","2",22,"m","e",831.388,637959157286277146,637959157294591026,"gray"
"P14","co","2",22,"m","e",201.0459,637959157322387312,637959157324397771,"red"
"P14","co","2",22,"m","e",194.0105,637959157357694731,637959157359634836,"red"
"P14","co","2",22,"m","e",93.0207,637959157476542215,637959157477472422,"gray"
"P14","co","2",22,"m","e",626.1425,637959157506068894,637959157512330319,"gray"
"P14","co","2",22,"m","e",256.0586,637959157525313244,637959157527873830,"red"
"P14","co","2",22,"m","e",383.0865,637959157667455407,637959157671286272,"gray"
"P14","co","2",22,"m","e",171.0392,637959157700102785,637959157701813177,"gray"
"P14","co","2",22,"m","e",166.04,637959157738025146,637959157739685546,"gray"
"P16","s","1",18,"m","e",258.0587,637959202234311839,637959202236892426,"gold"
"P16","s","1",18,"m","e",416.0957,637959202242473686,637959202246634643,"red"
"P16","s","1",18,"m","e",539.1115,637959202323758385,637959202329149500,"gray"
"P16","s","1",18,"m","e",404.4337,637959202335887668,637959202339932005,"red"
"P16","s","1",18,"m","e",171.0397,637959202365317732,637959202367028129,"gold"
"P16","s","1",18,"m","e",230.0533,637959202459829114,637959202462129647,"gray"
"P16","s","1",18,"m","e",481.1106,637959202535496231,637959202540307337,"gray"
"P16","s","1",18,"m","e",180.0408,637959202613403863,637959202615204271,"red"
"P16","s","1",18,"m","e",1027.9645,637959202663290438,637959202673570083,"red"
"P16","s","1",18,"m","e",491.112,637959202691304088,637959202696215208,"gray"
"P16","s","1",18,"m","e",308.0703,637959202718011568,637959202721092271,"gray"
