"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P14","s","2",22,"m","e",369.0827,637959148994208653,637959148997899480,"blue"
"P14","s","2",22,"m","e",1773.4024,637959149058693239,637959149076427263,"red"
"P14","s","2",22,"m","e",1547.3501,637959149100042590,637959149115516091,"blue"
"P14","s","2",22,"m","e",720.1636,637959149141862056,637959149149063692,"blue"
"P14","s","2",22,"m","e",682.1552,637959149174669475,637959149181491027,"red"
"P14","s","2",22,"m","e",1987.4503,637959149234593030,637959149254467533,"red"
"P14","co","1",22,"m","e",1437.3256,637959155001858705,637959155016231961,"red"
"P14","co","1",22,"m","e",471.1065,637959155037956867,637959155042667932,"red"
"P14","co","1",22,"m","e",913.2071,637959155067723601,637959155076855672,"red"
"P14","co","1",22,"m","e",998.2269,637959155095309844,637959155105292113,"gray"
"P14","co","1",22,"m","e",1071.2422,637959155123756283,637959155134468705,"gray"
"P14","co","1",22,"m","e",958.2169,637959155183679838,637959155193262007,"red"
"P14","co","1",22,"m","e",637.1441,637959155215717087,637959155222088528,"red"
"P14","co","1",22,"m","e",526.1197,637959155294014521,637959155299275718,"gray"
"P14","co","1",22,"m","e",686.1547,637959155328782246,637959155335643793,"gray"
"P14","co","1",22,"m","e",380.0854,637959155356338475,637959155360139329,"red"
"P14","co","1",22,"m","e",839.1903,637959155419852839,637959155428244742,"red"
"P16","s","1",18,"m","e",527.6729,637959202285014083,637959202290290812,"blue"
"P16","s","1",18,"m","e",327.0739,637959202306334441,637959202309605180,"blue"
"P16","s","1",18,"m","e",1289.2937,637959202344082936,637959202356975873,"red"
"P16","s","1",18,"m","e",554.1272,637959202378530727,637959202384071999,"red"
"P16","s","1",18,"m","e",0,637959202403546387,637959202403546387,"blue"
"P16","s","1",18,"m","e",660.149,637959202424061026,637959202430662516,"blue"
"P16","s","1",18,"m","e",541.1231,637959202467400830,637959202472812061,"gray"
"P16","s","1",18,"m","e",445.1007,637959202491406258,637959202495857265,"blue"
"P16","s","1",18,"m","e",423.0961,637959202544358235,637959202548589196,"gray"
"P16","s","1",18,"m","e",317.0721,637959202619425225,637959202622595946,"red"
"P16","s","1",18,"m","e",514.1169,637959202646321305,637959202651462474,"blue"
"P16","s","1",18,"m","e",474.1071,637959202678291149,637959202683032220,"red"
"P16","s","1",18,"m","e",572.1284,637959202704877167,637959202710598451,"gray"
"P16","s","1",18,"m","e",1121.7907,637959202726593560,637959202737811467,"gray"
"P16","s","1",18,"m","e",366.083,637959202755175381,637959202758836211,"gold"
"P16","s","1",18,"m","e",216.0491,637959202778910751,637959202781071242,"gray"
"P16","s","1",18,"m","e",260.0586,637959202811898220,637959202814498806,"gray"
"P16","s","1",18,"m","e",713.161,637959202842775202,637959202849906812,"red"
"P16","s","1",18,"m","e",1066.2428,637959202875202534,637959202885864962,"blue"
"P16","s","1",18,"m","e",509.1154,637959202907209775,637959202912300929,"red"
"P16","s","1",18,"m","e",581.1305,637959202938746925,637959202944558230,"gray"
"P16","s","1",18,"m","e",591.1343,637959202973764836,637959202979676179,"gray"
"P16","s","1",18,"m","e",1272.29,637959203002711383,637959203015434283,"gray"
"P16","s","1",18,"m","e",416.0941,637959203032468114,637959203036629055,"blue"
"P16","s","1",18,"m","e",501.5347,637959203060033700,637959203065049047,"blue"
"P16","s","1",18,"m","e",549.1249,637959203131211634,637959203136702883,"red"
"P16","s","2",18,"m","e",458.1041,637959203695412288,637959203699993329,"red"
"P16","s","2",18,"m","e",0,637959203730950337,637959203730950337,"red"
"P16","s","2",18,"m","e",466.1072,637959203752485199,637959203757146271,"blue"
"P16","s","2",18,"m","e",947.2144,637959203782141909,637959203791614053,"gray"
"P16","s","2",18,"m","e",1901.43,637959203805917296,637959203824931596,"red"
"P16","s","2",18,"m","e",274.0619,637959203854598301,637959203857338920,"blue"
"P16","s","2",18,"m","e",977.2208,637959203889046105,637959203898818313,"gray"
"P16","s","2",18,"m","e",387.088,637959203921533452,637959203925404332,"blue"
"P16","s","2",18,"m","e",438.0991,637959203965183322,637959203969564313,"blue"
"P16","s","2",18,"m","e",527.1198,637959203984617717,637959203989888915,"gray"
"P16","s","2",18,"m","e",542.1234,637959204026171287,637959204031592521,"red"
"P16","s","2",18,"m","e",288.067,637959204046034533,637959204048915203,"red"
"P16","s","2",18,"m","e",383.0863,637959204080684918,637959204084515781,"blue"
"P16","s","2",18,"m","e",535.0548,637959204097236648,637959204102587196,"blue"
"P16","s","2",18,"m","e",628.9524,637959204124230620,637959204130520144,"gray"
"P16","s","2",18,"m","e",492.2667,637959204143214586,637959204148137253,"gray"
"P16","s","2",18,"m","e",842.1906,637959204164540943,637959204172962849,"gray"
"P16","s","2",18,"m","e",571.1288,637959204186755974,637959204192467262,"red"
"P16","s","2",18,"m","e",544.1242,637959204238557690,637959204243998932,"gray"
"P16","s","2",18,"m","e",406.093,637959204278276671,637959204282337601,"red"
"P16","s","2",18,"m","e",610.139,637959204294710391,637959204300811781,"red"
"P16","s","2",18,"m","e",505.1136,637959204344411637,637959204349462773,"gold"
"P16","s","2",18,"m","e",1048.2365,637959204395003080,637959204405485445,"blue"
"P16","s","2",18,"m","e",555.126,637959204429240821,637959204434792081,"gold"
"P16","s","2",18,"m","e",157.0375,637959204452045980,637959204453616355,"gray"
"P16","s","2",18,"m","e",543.1228,637959204471660422,637959204477091650,"red"
"P16","s","2",18,"m","e",398.0899,637959204491960106,637959204495941005,"blue"
"P16","co","1",18,"m","e",507.114,637959207037574020,637959207042645160,"gray"
"P16","co","1",18,"m","e",595.1363,637959207190701622,637959207196652985,"red"
"P16","co","1",18,"m","e",560.1286,637959207213016669,637959207218617955,"red"
"P16","co","1",18,"m","e",477.1082,637959207233901408,637959207238672490,"red"
"P16","co","1",18,"m","e",832.1904,637959207314739691,637959207323061595,"red"
"P16","co","1",18,"m","e",260.0592,637959207341065641,637959207343666233,"red"
"P16","co","1",18,"m","e",286.5735,637959207420003498,637959207422869233,"gray"
"P16","co","1",18,"m","e",804.1817,637959207451474348,637959207459516165,"red"
"P16","co","1",18,"m","e",507.1159,637959207574196917,637959207579268076,"gray"
"P16","co","1",18,"m","e",673.1534,637959207709127438,637959207715858972,"red"
"P16","co","1",18,"m","e",802.1809,637959207824583560,637959207832605369,"gray"
"P16","co","1",18,"m","e",848.1933,637959207864622613,637959207873104546,"red"
"16","co","2",18,"m","e",765.174,637959208808001556,637959208815653296,"red"
"16","co","2",18,"m","e",476.1082,637959208830436636,637959208835197718,"red"
"P18","s","31",31,"f","c",201.2856,637980707458904629,637980707460917485,"blue"
"P18","s","31",31,"f","c",328.1194,637980707494235601,637980707497516795,"red"
"P18","s","31",31,"f","c",568.0004,637980707527760374,637980707533440378,"red"
"P18","s","31",31,"f","c",366.7723,637980707580308743,637980707583976466,"blue"
"P18","s","31",31,"f","c",367.7295,637980707616393046,637980707620070341,"red"
